Set	ID
Evaluation set	MGYS00001057
Evaluation set	MGYS00001058
Evaluation set	MGYS00001059
Evaluation set	MGYS00001060
Evaluation set	MGYS00001061
Evaluation set	MGYS00001062
Evaluation set	MGYS00001065
Evaluation set	MGYS00001083
Evaluation set	MGYS00001098
Evaluation set	MGYS00001100
Evaluation set	MGYS00001158
Evaluation set	MGYS00001161
Evaluation set	MGYS00001169
Evaluation set	MGYS00001173
Evaluation set	MGYS00001192
Evaluation set	MGYS00001198
Evaluation set	MGYS00001202
Evaluation set	MGYS00001207
Evaluation set	MGYS00001253
Evaluation set	MGYS00001263
Evaluation set	MGYS00001284
Evaluation set	MGYS00001289
Evaluation set	MGYS00001293
Evaluation set	MGYS00001328
Evaluation set	MGYS00001330
Evaluation set	MGYS00001331
Evaluation set	MGYS00001352
Evaluation set	MGYS00001353
Evaluation set	MGYS00001354
Evaluation set	MGYS00001355
Evaluation set	MGYS00001356
Evaluation set	MGYS00001421
Evaluation set	MGYS00001426
Evaluation set	MGYS00001447
Evaluation set	MGYS00001448
Evaluation set	MGYS00001597
Evaluation set	MGYS00001599
Evaluation set	MGYS00001606
Evaluation set	MGYS00001611
Evaluation set	MGYS00001619
Evaluation set	MGYS00001627
Evaluation set	MGYS00001761
Evaluation set	MGYS00001762
Evaluation set	MGYS00001909
Evaluation set	MGYS00001911
Evaluation set	MGYS00001972
Evaluation set	MGYS00002001
Evaluation set	MGYS00002018
Evaluation set	MGYS00002032
Evaluation set	MGYS00002048
Evaluation set	MGYS00002053
Evaluation set	MGYS00002054
Evaluation set	MGYS00002110
Evaluation set	MGYS00002115
Evaluation set	MGYS00002116
Evaluation set	MGYS00002190
Evaluation set	MGYS00002254
Evaluation set	MGYS00002294
Evaluation set	MGYS00002303
Evaluation set	MGYS00002314
Evaluation set	MGYS00002386
Evaluation set	MGYS00002391
Evaluation set	MGYS00002428
Evaluation set	MGYS00002429
Evaluation set	MGYS00002441
Evaluation set	MGYS00002679
Evaluation set	MGYS00002700
Evaluation set	MGYS00002702
Evaluation set	MGYS00002715
Evaluation set	MGYS00003066
Evaluation set	MGYS00003067
Evaluation set	MGYS00003688
Evaluation set	MGYS00003691
Evaluation set	MGYS00003717
Evaluation set	MGYS00003727
Evaluation set	MGYS00003754
Evaluation set	MGYS00003759
Evaluation set	MGYS00003772
Evaluation set	MGYS00003785
Evaluation set	MGYS00003786
Evaluation set	MGYS00003793
Evaluation set	MGYS00003807
Evaluation set	MGYS00003812
Evaluation set	MGYS00003813
Evaluation set	MGYS00003853
Evaluation set	MGYS00003858
Evaluation set	MGYS00003870
Evaluation set	MGYS00003912
Evaluation set	MGYS00003915
Evaluation set	MGYS00003916
Evaluation set	MGYS00003917
Evaluation set	MGYS00003918
Evaluation set	MGYS00003919
Evaluation set	MGYS00003920
Evaluation set	MGYS00003922
Evaluation set	MGYS00003931
Evaluation set	MGYS00003933
Evaluation set	MGYS00003981
Evaluation set	MGYS00004294
Evaluation set	MGYS00004296
Evaluation set	MGYS00004382
Evaluation set	MGYS00004491
Evaluation set	MGYS00004541
Evaluation set	MGYS00004546
Evaluation set	MGYS00004602
Evaluation set	MGYS00004610
Evaluation set	MGYS00004650
Evaluation set	MGYS00004688
Evaluation set	MGYS00005040
Evaluation set	MGYS00005053
Evaluation set	MGYS00005077
Evaluation set	MGYS00005078
Evaluation set	MGYS00005091
Evaluation set	MGYS00005092
Evaluation set	MGYS00005093
Evaluation set	MGYS00005096
Evaluation set	MGYS00005157
Evaluation set	MGYS00005165
Evaluation set	MGYS00005171
Evaluation set	MGYS00005174
Evaluation set	MGYS00005185
Evaluation set	MGYS00005186
Evaluation set	MGYS00005205
Evaluation set	MGYS00005208
Evaluation set	MGYS00005241
Evaluation set	MGYS00005243
Evaluation set	MGYS00005297
Evaluation set	MGYS00005313
Evaluation set	MGYS00005315
Evaluation set	MGYS00005385
Evaluation set	MGYS00005502
Evaluation set	MGYS00005511
Evaluation set	MGYS00005521
Evaluation set	MGYS00005522
Evaluation set	MGYS00005536
Evaluation set	MGYS00005547
Evaluation set	MGYS00005571
Evaluation set	MGYS00005572
Evaluation set	MGYS00005622
Evaluation set	MGYS00005624
Evaluation set	MGYS00005725
Evaluation set	MGYS00005744
Evaluation set	MGYS00005779
Evaluation set	MGYS00005819
Evaluation set	MGYS00005993
Evaluation set	MGYS00005994
Evaluation set	MGYS00006001
Evaluation set	MGYS00006040
Evaluation set	MGYS00006044
Evaluation set	MGYS00006087
Evaluation set	MGYS00006118
Evaluation set	MGYS00006214
Training set	MGYS00000927
Training set	MGYS00000928
Training set	MGYS00000930
Training set	MGYS00000937
Training set	MGYS00000938
Training set	MGYS00000962
Training set	MGYS00000964
Training set	MGYS00000970
Training set	MGYS00000973
Training set	MGYS00001002
Training set	MGYS00001010
Training set	MGYS00001013
Training set	MGYS00001018
Training set	MGYS00001019
Training set	MGYS00001020
Training set	MGYS00001029
Training set	MGYS00001030
Training set	MGYS00001055
Training set	MGYS00001080
Training set	MGYS00001155
Training set	MGYS00001160
Training set	MGYS00001167
Training set	MGYS00001596
Training set	MGYS00001634
Training set	MGYS00001718
Training set	MGYS00001864
Training set	MGYS00001957
Training set	MGYS00002028
Training set	MGYS00002069
Training set	MGYS00002199
Training set	MGYS00002387
Training set	MGYS00002389
Training set	MGYS00002401
Training set	MGYS00002698
Training set	MGYS00003716
Training set	MGYS00003722
Training set	MGYS00003769
Training set	MGYS00003860
Training set	MGYS00003861
Training set	MGYS00003862
Training set	MGYS00003865
Training set	MGYS00003921
Training set	MGYS00003963
Training set	MGYS00004316
Training set	MGYS00004499
Training set	MGYS00005051
Training set	MGYS00005094
Training set	MGYS00005134
Training set	MGYS00005155
Training set	MGYS00005246
Training set	MGYS00005288
Training set	MGYS00005539
Training set	MGYS00005701
Training set	MGYS00005721
Training set	MGYS00005784
Training set	MGYS00006029
Training set	MGYS00006043
Training set	MGYS00006071
Training set	MGYS00006112
Training set	MGYS00000256
Training set	MGYS00000260
Training set	MGYS00000283
Training set	MGYS00000295
Training set	MGYS00000316
Training set	MGYS00000317
Training set	MGYS00000334
Training set	MGYS00000357
Training set	MGYS00000363
Training set	MGYS00000365
Training set	MGYS00000368
Training set	MGYS00000369
Training set	MGYS00000373
Training set	MGYS00000374
Training set	MGYS00000377
Training set	MGYS00000385
Training set	MGYS00000387
Training set	MGYS00000392
Training set	MGYS00000418
Training set	MGYS00000434
Training set	MGYS00000437
Training set	MGYS00000449
Training set	MGYS00000450
Training set	MGYS00000468
Training set	MGYS00000477
Training set	MGYS00000496
Training set	MGYS00000498
Training set	MGYS00000509
Training set	MGYS00000510
Training set	MGYS00000525
Training set	MGYS00000528
Training set	MGYS00000529
Training set	MGYS00000539
Training set	MGYS00000542
Training set	MGYS00000560
Training set	MGYS00000573
Training set	MGYS00000581
Training set	MGYS00000600
Training set	MGYS00000620
Training set	MGYS00000621
Training set	MGYS00000622
Training set	MGYS00000623
Training set	MGYS00000624
Training set	MGYS00000625
Training set	MGYS00000626
Training set	MGYS00000627
Training set	MGYS00000628
Training set	MGYS00000634
Training set	MGYS00000635
Training set	MGYS00000636
Training set	MGYS00000637
Training set	MGYS00000644
Training set	MGYS00000649
Training set	MGYS00000650
Training set	MGYS00000651
Training set	MGYS00000652
Training set	MGYS00000653
Training set	MGYS00000655
Training set	MGYS00000656
Training set	MGYS00000657
Training set	MGYS00000658
Training set	MGYS00000661
Training set	MGYS00000662
Training set	MGYS00000664
Training set	MGYS00000665
Training set	MGYS00000666
Training set	MGYS00000667
Training set	MGYS00000668
Training set	MGYS00000669
Training set	MGYS00000670
Training set	MGYS00000671
Training set	MGYS00000672
Training set	MGYS00000673
Training set	MGYS00000675
Training set	MGYS00000676
Training set	MGYS00000678
Training set	MGYS00000681
Training set	MGYS00000682
Training set	MGYS00000683
Training set	MGYS00000684
Training set	MGYS00000687
Training set	MGYS00000689
Training set	MGYS00000690
Training set	MGYS00000691
Training set	MGYS00000692
Training set	MGYS00000693
Training set	MGYS00000694
Training set	MGYS00000697
Training set	MGYS00000698
Training set	MGYS00000699
Training set	MGYS00000704
Training set	MGYS00000705
Training set	MGYS00000706
Training set	MGYS00000707
Training set	MGYS00000708
Training set	MGYS00000709
Training set	MGYS00000710
Training set	MGYS00000712
Training set	MGYS00000713
Training set	MGYS00000714
Training set	MGYS00000716
Training set	MGYS00000717
Training set	MGYS00000721
Training set	MGYS00000722
Training set	MGYS00000723
Training set	MGYS00000724
Training set	MGYS00000725
Training set	MGYS00000726
Training set	MGYS00000727
Training set	MGYS00000728
Training set	MGYS00000729
Training set	MGYS00000730
Training set	MGYS00000731
Training set	MGYS00000732
Training set	MGYS00000733
Training set	MGYS00000734
Training set	MGYS00000735
Training set	MGYS00000736
Training set	MGYS00000737
Training set	MGYS00000738
Training set	MGYS00000739
Training set	MGYS00000741
Training set	MGYS00000742
Training set	MGYS00000743
Training set	MGYS00000744
Training set	MGYS00000745
Training set	MGYS00000746
Training set	MGYS00000747
Training set	MGYS00000750
Training set	MGYS00000751
Training set	MGYS00000752
Training set	MGYS00000753
Training set	MGYS00000754
Training set	MGYS00000755
Training set	MGYS00000756
Training set	MGYS00000758
Training set	MGYS00000759
Training set	MGYS00000760
Training set	MGYS00000761
Training set	MGYS00000762
Training set	MGYS00000763
Training set	MGYS00000764
Training set	MGYS00000765
Training set	MGYS00000766
Training set	MGYS00000767
Training set	MGYS00000768
Training set	MGYS00000769
Training set	MGYS00000770
Training set	MGYS00000771
Training set	MGYS00000772
Training set	MGYS00000773
Training set	MGYS00000774
Training set	MGYS00000775
Training set	MGYS00000776
Training set	MGYS00000778
Training set	MGYS00000779
Training set	MGYS00000780
Training set	MGYS00000782
Training set	MGYS00000783
Training set	MGYS00000784
Training set	MGYS00000785
Training set	MGYS00000786
Training set	MGYS00000787
Training set	MGYS00000788
Training set	MGYS00000789
Training set	MGYS00000790
Training set	MGYS00000791
Training set	MGYS00000792
Training set	MGYS00000793
Training set	MGYS00000796
Training set	MGYS00000797
Training set	MGYS00000799
Training set	MGYS00000800
Training set	MGYS00000801
Training set	MGYS00000802
Training set	MGYS00000803
Training set	MGYS00000804
Training set	MGYS00000806
Training set	MGYS00000807
Training set	MGYS00000808
Training set	MGYS00000809
Training set	MGYS00000810
Training set	MGYS00000811
Training set	MGYS00000812
Training set	MGYS00000813
Training set	MGYS00000814
Training set	MGYS00000815
Training set	MGYS00000816
Training set	MGYS00000818
Training set	MGYS00000819
Training set	MGYS00000821
Training set	MGYS00000822
Training set	MGYS00000824
Training set	MGYS00000825
Training set	MGYS00000827
Training set	MGYS00000828
Training set	MGYS00000831
Training set	MGYS00000834
Training set	MGYS00000835
Training set	MGYS00000837
Training set	MGYS00000838
Training set	MGYS00000839
Training set	MGYS00000840
Training set	MGYS00000843
Training set	MGYS00000844
Training set	MGYS00000846
Training set	MGYS00000847
Training set	MGYS00000848
Training set	MGYS00000849
Training set	MGYS00000850
Training set	MGYS00000852
Training set	MGYS00000853
Training set	MGYS00000854
Training set	MGYS00000855
Training set	MGYS00000856
Training set	MGYS00000857
Training set	MGYS00000858
Training set	MGYS00000859
Training set	MGYS00000860
Training set	MGYS00000865
Training set	MGYS00000866
Training set	MGYS00000869
Training set	MGYS00000870
Training set	MGYS00000871
Training set	MGYS00000872
Training set	MGYS00000873
Training set	MGYS00000874
Training set	MGYS00000875
Training set	MGYS00000876
Training set	MGYS00000877
Training set	MGYS00000879
Training set	MGYS00000880
Training set	MGYS00000881
Training set	MGYS00000882
Training set	MGYS00000884
Training set	MGYS00000885
Training set	MGYS00000886
Training set	MGYS00000887
Training set	MGYS00000888
Training set	MGYS00000889
Training set	MGYS00000890
Training set	MGYS00000892
Training set	MGYS00000893
Training set	MGYS00000894
Training set	MGYS00000895
Training set	MGYS00000896
Training set	MGYS00000898
Training set	MGYS00000899
Training set	MGYS00000900
Training set	MGYS00000901
Training set	MGYS00000902
Training set	MGYS00000903
Training set	MGYS00000904
Training set	MGYS00000905
Training set	MGYS00000906
Training set	MGYS00000907
Training set	MGYS00000908
Training set	MGYS00000909
Training set	MGYS00000910
Training set	MGYS00000911
Training set	MGYS00000912
Training set	MGYS00000913
Training set	MGYS00000914
Training set	MGYS00000915
Training set	MGYS00000916
Training set	MGYS00000917
Training set	MGYS00000918
Training set	MGYS00000919
Training set	MGYS00000920
Training set	MGYS00000993
Training set	MGYS00001007
Training set	MGYS00001021
Training set	MGYS00001082
Training set	MGYS00001157
Training set	MGYS00002011
Training set	MGYS00002015
Training set	MGYS00002026
Training set	MGYS00002037
Training set	MGYS00002047
Training set	MGYS00002049
Training set	MGYS00002051
Training set	MGYS00002055
Training set	MGYS00002059
Training set	MGYS00002067
Training set	MGYS00002068
Training set	MGYS00002070
Training set	MGYS00002305
Training set	MGYS00002306
Training set	MGYS00002688
Training set	MGYS00004640
Training set	MGYS00005161
Training set	MGYS00005501
